"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="1025085187982105836","药房直发】振德一次性医用口罩50只装纱布透气防尘三层防菌防病毒","129.00","1","1005035*5","颜色分类：药房速发】振德医用纱布口罩50只（10只/袋）","null","null","等待买家付款","1005035*5"
="602939212996901002","现货】天劲 强骨生血口服液10支滋补肝肾气血不足缺铁性贫血","68.00","1","1016825","套餐类型：1盒装","null","null","买家已确认，等待卖家发货","1016825"
="1024364960624730044","三九999板蓝根颗粒20袋清热解毒扁桃体炎板兰根冲剂","12.00","1","1011646","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1011646"
="1024904834098028421","御芝林变通牌天天胶囊27粒便通清肠芦荟果蔬便秘宿便药房旗舰正品","59.00","2","1002687","null","null","null","买家已付款，等待卖家发货","1002687"
="1024874402428481359","优惠】婧亮 维生素AE胶丸30粒夜盲干眼症皮肤粗糙习惯性流产辅疗","48.00","1","1021719","套餐类型：本品一盒","null","null","买家已确认，等待卖家发货","1021719"
="1025016163462481359","优惠】婧亮 维生素AE胶丸30粒夜盲干眼症皮肤粗糙习惯性流产辅疗","48.00","1","1021719","套餐类型：本品一盒","null","null","买家已确认，等待卖家发货","1021719"
="1024848705117594522","药房直发】振德一次性医用口罩50只装纱布透气防尘三层防菌防病毒","129.00","1","1005035*5","颜色分类：药房速发】振德医用纱布口罩50只（10只/袋）","null","null","买家已付款，等待卖家发货","1005035*5"
="1024972611646658541","蒙欣 维磷葡钙片 100片 用于防治钙缺乏症 佝偻病 妊娠哺乳期补钙","9.90","1","1051297","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1051297"
="1024833922044658541","蒙欣 维磷葡钙片 100片 用于防治钙缺乏症 佝偻病 妊娠哺乳期补钙","9.90","1","1051297","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1051297"
="1024266944192176541","3盒39】  福元开塞露含甘油20ml*20支便秘老年人成人润滑通便","39.00","1","1037871*60","套餐类型：【限时特价】3盒39","null","null","买家已确认，等待卖家发货","1037871*60"
="1024806209259658541","蒙欣 维磷葡钙片 100片 用于防治钙缺乏症 佝偻病 妊娠哺乳期补钙","9.90","1","1051297","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1051297"
="1024253696427822219","亚邦 奈邦 美洛昔康分散片 7.5mg*12片/盒  cf","42.00","1","1009263*3","套餐类型：3盒装","null","null","买家已付款，等待卖家发货","1009263*3"
