"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="1025908002713210387","东阿阿胶复方阿胶浆[无糖型]48支养血口服液补气血治贫血东阿","259.00","2","1006473","套餐类型：【效期为21年1月和21年5月！随机发货】48支 礼盒装（无蔗糖）","null","null","买家已确认，等待卖家发货","1006473"
="1026031651625126671","东阿阿胶复方阿胶浆[无糖型]48支养血口服液补气血治贫血东阿","259.00","2","1006473","套餐类型：【效期为21年1月和21年5月！随机发货】48支 礼盒装（无蔗糖）","null","null","买家已确认，等待卖家发货","1006473"
="1025869121152350653","取悦水晶套男用仿阴茎粗成人情趣肉搏斗士肌肉情趣性夫妻用品","12.00","1","1092135","颜色分类：肌肉大兵","null","null","买家已付款，等待卖家发货","1092135"
="1025840865569713685","派瑞松 曲安奈德益康唑乳膏 15克 手足癣真菌感染 皮炎湿疹","20.00","1","1006760","套餐类型：标准装：本品1盒","null","null","买家已确认，等待卖家发货","1006760"
="1025285504333713685","派瑞松 曲安奈德益康唑乳膏 15克 手足癣真菌感染 皮炎湿疹","21.00","1","1006760","套餐类型：套餐一：本品1盒","null","null","买家已确认，等待卖家发货","1006760"
="1025280480379620489","2盒】东阿阿胶关节止痛膏4片*1袋/盒活血散瘀温经镇痛用于关节扭","14.80","1","1020894*2","null","null","null","买家已确认，等待卖家发货","1020894*2"
="1025828961270620489","2盒】东阿阿胶关节止痛膏4片*1袋/盒活血散瘀温经镇痛用于关节扭","14.80","1","1020894*2","null","null","null","买家已确认，等待卖家发货","1020894*2"
="1025275200947713685","派瑞松 曲安奈德益康唑乳膏 15克 手足癣真菌感染 皮炎湿疹","21.00","1","1006760","套餐类型：套餐一：本品1盒","null","null","买家已确认，等待卖家发货","1006760"
="1025852642537713685","派瑞松 曲安奈德益康唑乳膏 15克 手足癣真菌感染 皮炎湿疹","21.00","1","1006760","套餐类型：套餐一：本品1盒","null","null","买家已确认，等待卖家发货","1006760"
="1025265088922713685","派瑞松 曲安奈德益康唑乳膏 15克 手足癣真菌感染 皮炎湿疹","21.00","1","1006760","套餐类型：套餐一：本品1盒","null","null","买家已确认，等待卖家发货","1006760"
="1025813537438597891","999强力枇杷露225ml三九祛痰 支气管炎 止咳糖浆止咳水咳嗽药品","15.00","3","1009564","套餐类型：标准装：本品1盒","null","null","买家已确认，等待卖家发货","1009564"
="1025836290279626390","3盒49】信龙开塞露含甘油20ml*20支儿童成人孕妇老人便秘通便","49.00","7","1030250*60","套餐类型：【限时特价】3盒49","null","null","买家已确认，等待卖家发货","1030250*60"
="1025814146708949967","优立通非布司他片 40mg*16片/盒  cf","69.00","1","1008736","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1008736"
="1025927043521975784","达克宁软膏 脚气 硝酸咪康唑乳膏 20g去脚癣股藓 药品 药店正品","24.80","2","1006762","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1006762"
="1025912995449890861","云南白药气雾剂85g+30g活血散化瘀消肿止痛跌打扭伤喷雾剂","49.90","1","1006699","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1006699"
="1025737921809662241","大佑 复方硫酸软骨素片 100片/瓶","19.90","2","1010582","null","null","null","买家已付款，等待卖家发货","1010582"
="594177188515355595","999强力枇杷露225ml三九祛痰 支气管炎 止咳糖浆止咳水咳嗽药品","15.00","7","1009564","套餐类型：标准装：本品1盒","null","null","买家已确认，等待卖家发货","1009564"
="1025906595262857875","限时包邮】史克肠虫清阿苯达唑片肠虫清驱虫药成人打蛔虫中美史克","16.80","1","1006886","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1006886"
="1025732641365314065","蒙欣 维磷葡钙片 100片 用于防治钙缺乏症 佝偻病 妊娠哺乳期补钙","9.90","1","1051297","套餐类型：标准装","null","null","买家已确认，等待卖家发货","1051297"
