"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="605583277601802404","【狂欢价】隐形眼镜盒便携双联近视可爱女伴侣盒简约清新收纳美瞳盒子网红款","35.80","1","YJ-KD037pink","颜色分类：粉色","null","null","买家已付款，等待卖家发货","YJ-KD037pink"
="1071235171386893183","【狂欢价】海俪恩 隐形近视眼镜 半年抛隐型眼境1片装超薄 透明","60.00","1","YJ-HC084Trans150D","度数：150","null","null","买家已付款，等待卖家发货","YJ-HC084Trans150D"
="605855471150802404","【狂欢价】顺丰】非离子美瞳女13.8mm自然clamdo小直径虹膜隐形眼镜半年抛2","158.00","1","YJ-JD021black550D","颜色分类：小半黑;度数：550","null","null","买家已付款，等待卖家发货","YJ-JD021black550D"
="1071001633568305132","东药 苯磺酸氨氯地平片 5mg*28片/盒 高血压 冠心病yp","6.40","4","1037091","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1037091"
="1071207491214953966","movo润滑油液剂夫妻房事水溶性大小瓶装更年期私处免洗情趣用品BQ","136.00","1","HTMOVO001","颜色分类：45ml【小瓶装】+礼品+保密发货","null","null","买家已付款，等待卖家发货","HTMOVO001"
="1070972962788482124","【狂欢价】Easylive迷你跳蛋女用品高潮情趣遥控跳弹学生无线静音超强震动BQ","158.00","1","HTCharmtd001","颜色分类：Charm遥控跳蛋-粉色（送消毒液）","null","null","买家已付款，等待卖家发货","HTCharmtd001"
="605658476409379501","【狂欢价】顺丰】非离子美瞳女13.8mm自然clamdo小直径虹膜隐形眼镜半年抛2","158.00","1","YJ-JD022green0D","颜色分类：Peggy-虹膜绿;度数：0","null","null","买家已付款，等待卖家发货","YJ-JD022green0D"
="1070845249125615880","【狂欢价】美瞳半年抛小直径自然年抛女正品大牌bollycon同款彩色隐形眼镜2","169.00","1","YJ-JD018brown175D","颜色分类：小茶棕-2片（通勤素颜款提亮双眼更加无辜）;度数：175","null","null","买家已付款，等待卖家发货","YJ-JD018brown175D"
="1070845249125615880","【狂欢价】韩国进口半年抛美瞳年抛女小直径14.5大牌彩色隐形眼镜正品官网","188.00","1","YJ-JD028brown175D","颜色分类：14.0琥珀棕 断货王【桥本同款琥珀瞳】收藏+加购买1副送1副;度数：175","null","null","买家已付款，等待卖家发货","YJ-JD028brown175D"
="1070845249125615880","【狂欢价】yukicon美瞳年抛大小直径混血网红款女14.8mm欧美蓝近视隐形眼镜","180.00","1","YJ-NO001Ybrown175D","颜色分类：大地萤棕色;度数：175","null","null","买家已付款，等待卖家发货","YJ-NO001Ybrown175D"
="596849093627538898","【狂欢价】neo韩国进口acelens美瞳女年抛隐形眼镜小直径混血灰官网正品大牌","80.00","1","YJ-NEO002XBlack800D","颜色分类：小可爱黑;度数：800","null","null","买家已付款，等待卖家发货","YJ-NEO002XBlack800D"
="596850437087120996","【狂欢价】Easylive迷你跳蛋女用品高潮情趣遥控跳弹学生无线静音超强震动BQ","158.00","1","HTCharmtd002","颜色分类：Charm遥控跳蛋-蓝色（送消毒液）","null","null","买家已付款，等待卖家发货","HTCharmtd002"
="1070875843876238714","明泰 血府逐瘀软胶囊 0.5g*24粒/盒 冠心病 失眠多梦心悸怔忡急躁善怒yp","48.00","2","1088486","套餐类型：标准装","null","null","买家已付款，等待卖家发货","1088486"
="1070589985249088211","美瞳年抛女小直径半年抛隐形眼镜韩国正品大牌桥本环奈同款鹿屿棕","119.00","1","YJ-JD029brown250D","颜色分类：鹿屿棕14.0年抛【桥本环奈同款】收藏加购买1副送1副;度数：250","null","null","买家已付款，等待卖家发货","YJ-JD029brown250D"
="605744238688599000","【狂欢价】凯达美瞳 隐形近视眼镜盒自动清洗器 手动自动usb电动清洗机可爱","16.80","1","YJ-KD005red","颜色分类：透明粉/电池款","null","null","买家已付款，等待卖家发货","YJ-KD005red"
="605744238688599000","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","2","YJ-HC001Brown250D","颜色分类：萤之光可棕（ 日常通勤必备的百搭瞳）;度数：250","null","null","买家已付款，等待卖家发货","YJ-HC001Brown250D"
="605744238688599000","【狂欢价】海俪恩美瞳女彩色隐形近视眼镜小直径半年抛盒自然舒适正品大牌","103.00","1","YJ-HC001Black250D","颜色分类：萤之光黑（斩男神器 初恋般清澈少女瞳）;度数：250","null","null","买家已付款，等待卖家发货","YJ-HC001Black250D"
="596831973570294399","【狂欢价】2片雾黎美瞳年抛女小直径自然acelens隐形眼镜半年抛官网正品大牌","188.00","1","YJ-JD029brown550D","颜色分类：鹿光棕【acelens同款招牌花色】;度数：550","null","null","买家已付款，等待卖家发货","YJ-JD029brown550D"
